product_id,category_id,product_name,description,price,stock_quantity,created_at
1,12,셔츠 Bisque 슬림핏,숙련된 스며든 마이그레이션,50500.0,24,2025-03-26 23:46:00
2,11,티셔츠 Cornsilk 슬림핏,멀티 채널 고도 기반 어댑터,122600.0,23,2025-05-16 01:42:51
3,11,티셔츠 SeaShell 슬림핏,완벽히 설정된 멀티 태스킹 인트라넷,45200.0,26,2025-05-03 20:59:44
4,13,니트 MediumPurple 베이직,선택적 인간자원 미들웨어,44600.0,47,2025-06-13 09:45:36
5,11,티셔츠 RoyalBlue 슬림핏,효율적인 고도 기반 유연성,66100.0,23,2025-04-04 10:34:54
6,13,니트 Plum 베이직,완벽히 설정된 상황에 맞는 유연성,133000.0,19,2025-01-03 00:43:57
7,22,슬랙스 Cornsilk 오버핏,업그레이드 가능한 멀티 태스킹 접근,180200.0,86,2025-06-30 22:11:03
8,11,티셔츠 GoldenRod 슬림핏,반동적인 헌신적 전략,141000.0,50,2025-04-01 22:58:18
9,22,슬랙스 LawnGreen 베이직,출판된 24/7 성공,171000.0,57,2025-05-26 04:29:28
10,22,슬랙스 LightSlateGray 슬림핏,더 커진 고단계 정책,84800.0,59,2025-01-04 06:13:29
11,13,니트 DeepPink 베이직,멀티 채널 클라이언트-서버 도전,102300.0,5,2025-01-05 21:09:40
12,13,니트 Blue 슬림핏,자가 이용 가능한 확장 전략,134700.0,51,2025-04-01 12:30:47
13,11,티셔츠 DarkCyan 슬림핏,업그레이드 가능한 비대칭 알고리즘,163100.0,62,2025-01-02 14:45:59
14,22,슬랙스 DarkSlateGray 오버핏,조직화된 범국가적 미디어 정보,24600.0,61,2025-06-18 15:03:54
15,12,셔츠 FireBrick 오버핏,다중 주파수 지역적 소프트웨어,184700.0,33,2025-01-18 14:20:58
16,12,셔츠 Bisque 베이직,복제된 상황에 맞는 설치과정,191900.0,63,2025-06-15 02:16:09
17,21,청바지 Salmon 슬림핏,비전 있는 클라이언트 단 코어,64600.0,15,2025-01-17 07:05:48
18,22,슬랙스 AliceBlue 베이직,공개 아키텍쳐 클라이언트 단 공개 시스템,40900.0,68,2025-07-20 16:53:49
19,22,슬랙스 Plum 베이직,안전한 백그라운드 지식 기반,105400.0,89,2025-04-27 00:02:20
20,22,슬랙스 PaleGreen 베이직,인체 공학적인 필수 벤치마크,103600.0,22,2025-02-16 08:48:41
21,13,니트 Fuchsia 오버핏,완벽히 설정된 결정 솔루션,67000.0,9,2025-02-26 16:07:29
22,11,티셔츠 LightYellow 베이직,총 취약점 관리자,117100.0,3,2025-07-29 23:34:18
23,21,청바지 PeachPuff 오버핏,리버스 엔지니어링된 해답 기반 허브,123200.0,32,2025-06-28 23:31:33
24,12,셔츠 BlanchedAlmond 베이직,업그레이드 가능한 필수 지식 기반,132700.0,64,2025-02-11 17:23:04
25,13,니트 PaleGreen 베이직,품질 중심의 요약 태도,32500.0,94,2025-05-10 19:03:24
26,21,청바지 Tomato 슬림핏,리버스 엔지니어링된 무관용 LAN,80600.0,89,2025-04-25 16:19:30
27,11,티셔츠 LightSeaGreen 오버핏,비즈니스 중점적 잘 모듈화된 전략,166600.0,6,2025-07-24 07:45:21
28,13,니트 Moccasin 베이직,리버스 엔지니어링된 휴대형 회로,188600.0,35,2025-03-02 09:09:07
29,12,셔츠 DarkSlateGray 오버핏,융합된 휴리스틱 배열,96200.0,23,2025-08-05 23:33:02
30,21,청바지 DarkViolet 오버핏,모니터링되는 휴대형 정책,65000.0,95,2025-03-08 21:18:31
31,12,셔츠 WhiteSmoke 베이직,설정 가능한 밀착 컨셉,153200.0,98,2025-04-30 23:53:30
32,21,청바지 MediumVioletRed 오버핏,조절 가능한 하이브리드 인공지능,109400.0,88,2025-06-06 12:33:46
33,12,셔츠 DeepPink 베이직,미래가 보장된 실행 예보,183000.0,75,2025-02-05 04:49:58
34,21,청바지 OldLace 슬림핏,특별한 무관리 제품,108700.0,15,2025-07-06 07:12:57
35,21,청바지 Linen 베이직,객체 기반의 장거리 공구,119700.0,84,2025-06-14 05:22:14
36,22,슬랙스 Teal 베이직,비즈니스 중점적 국가적 정책,40400.0,52,2025-02-01 22:09:31
37,11,티셔츠 YellowGreen 슬림핏,프로그래밍 가능한 잘 모듈화된 접근,30100.0,34,2025-04-16 19:26:55
38,11,티셔츠 MidnightBlue 슬림핏,적응된 비동기 데이터베이스,45700.0,73,2025-07-06 05:29:26
39,22,슬랙스 HoneyDew 오버핏,선택적 역수 엑스트라넷,35100.0,12,2025-03-26 04:10:43
40,13,니트 Olive 오버핏,변경 가능한 인간자원 배열,46400.0,28,2025-02-23 02:54:30
41,11,티셔츠 LimeGreen 베이직,확장된 무해한 표준,86700.0,16,2025-07-21 20:30:34
42,21,청바지 FloralWhite 슬림핏,미래가 보장된 보조 펌웨어,106700.0,53,2025-05-19 13:23:51
43,22,슬랙스 IndianRed 슬림핏,중심이 하이브리드 허브,98200.0,44,2025-03-24 01:07:17
44,11,티셔츠 LightCoral 베이직,다중 주파수 작동 벤치마크,168100.0,38,2025-01-02 08:40:22
