product_id,category_id,product_name,description,price,stock_quantity,created_at
1,12,셔츠 DarkBlue 슬림핏,총 헌신적 전략,71700.0,10,2024-08-11 17:41:09
2,22,슬랙스 Navy 베이직,올바른 사이즈의 취약점 아키텍쳐,164200.0,3,2025-01-07 04:29:07
3,13,니트 PaleGoldenRod 베이직,조절 가능한 6세대 환경,34100.0,27,2025-06-05 12:58:59
4,41,스니커즈 HotPink 베이직,올바른 사이즈의 주파수 탐지 가능 마이그레이션,198700.0,79,2024-08-30 16:22:23
5,22,슬랙스 Black 오버핏,업그레이드 가능한 비대칭 고객 만족,46500.0,52,2025-06-06 11:24:33
6,31,자켓 Gold 오버핏,안정적인 취약점 LAN,20700.0,50,2025-08-04 08:28:25
7,21,청바지 Salmon 오버핏,재정렬 가치추가 알고리즘,181400.0,59,2025-03-30 21:34:34
8,22,슬랙스 DarkOliveGreen 베이직,비전 있는 분리된 정의,38900.0,87,2024-09-27 22:24:48
9,12,셔츠 LemonChiffon 슬림핏,비즈니스 중점적 클라이언트 단 도전,34100.0,36,2025-03-14 05:16:36
10,31,자켓 NavajoWhite 오버핏,사용자 중심의 실시간 프레임워크,102100.0,55,2025-01-30 12:39:26
11,41,스니커즈 Fuchsia 오버핏,진보적인 웹 사용 가능 패러다임,52700.0,75,2025-03-06 00:19:46
12,31,자켓 SaddleBrown 베이직,안전한 비동기 엔진,140500.0,6,2025-01-26 04:18:56
13,22,슬랙스 Black 슬림핏,공개 키 수요 중심 미디어 정보,81100.0,40,2024-11-07 16:08:19
14,13,니트 YellowGreen 오버핏,유저 친화적 하이브리드 컨셉,140000.0,29,2025-07-09 06:01:20
15,22,슬랙스 LightSeaGreen 슬림핏,공개 키 분리형 설치과정,37600.0,24,2024-09-09 21:15:51
16,11,티셔츠 DarkViolet 슬림핏,오픈소스 무관리 프레임워크,99800.0,39,2025-03-18 14:09:41
17,41,스니커즈 DarkViolet 베이직,적응된 결정 지원,189900.0,13,2025-06-22 16:47:39
18,21,청바지 Yellow 베이직,특별한 안정적 지식 기반,42600.0,61,2025-06-28 04:58:21
19,12,셔츠 MediumSpringGreen 오버핏,업그레이드 가능한 수요 중심 GUI,122300.0,45,2025-03-27 22:14:06
20,41,스니커즈 Bisque 오버핏,더 커진 중립형 연합,192300.0,61,2024-10-30 10:42:38
21,41,스니커즈 GreenYellow 오버핏,미래가 보장된 환경 친화적 회로,78900.0,8,2025-04-14 00:41:11
22,12,셔츠 Red 슬림핏,특별한 글로벌 솔루션,83700.0,25,2024-08-15 23:34:47
23,22,슬랙스 DarkGray 베이직,무결점의 분리된 회로,193000.0,87,2024-10-17 11:46:02
24,13,니트 LawnGreen 베이직,프로그래밍 가능한 글로벌 도전,140000.0,60,2025-05-22 02:05:24
25,41,스니커즈 MediumAquaMarine 베이직,줄어든 상황에 맞는 LAN,197700.0,62,2025-07-19 13:56:00
26,12,셔츠 Khaki 슬림핏,동기화 교훈적 아카이브,52000.0,48,2025-08-08 06:23:54
27,12,셔츠 Teal 베이직,특별한 스며든 모델,130100.0,32,2024-12-12 00:29:13
28,22,슬랙스 Khaki 오버핏,숙련된 휴대형 보안구역,113400.0,43,2024-12-28 07:51:57
29,13,니트 NavajoWhite 베이직,더 작아진 지역적 안내 창구,108900.0,68,2024-11-20 11:39:45
30,11,티셔츠 CornflowerBlue 오버핏,특별한 하이브리드 소프트웨어,134100.0,88,2025-02-03 19:17:17
31,12,셔츠 Pink 베이직,공유 가능한 물류 계층,126200.0,12,2024-09-26 07:06:28
32,22,슬랙스 LightBlue 베이직,특별한 장거리 예산 관리,72700.0,75,2024-12-19 07:55:04
33,12,셔츠 Lavender 오버핏,인체 공학적인 해답 기반 코어,117600.0,96,2025-05-09 22:30:08
34,22,슬랙스 Thistle 슬림핏,크로스 그룹 요약 코어,84300.0,48,2024-11-21 11:47:16
35,21,청바지 MediumVioletRed 베이직,효율적인 24시간 시간화,176400.0,80,2024-09-27 17:57:15
36,11,티셔츠 MediumSlateBlue 오버핏,유기농 실행 예보,181500.0,8,2025-04-04 10:29:47
37,13,니트 LightGreen 베이직,완벽히 설정된 작동 미들웨어,80500.0,71,2025-03-15 19:09:00
38,13,니트 Plum 베이직,최적화된 무관용 프레임,132500.0,8,2025-04-27 08:27:16
39,22,슬랙스 MediumAquaMarine 슬림핏,함수 기반의 휴리스틱 정책,147400.0,67,2025-04-11 08:05:49
40,21,청바지 CadetBlue 베이직,재정렬 3세대 구조체,190900.0,27,2025-05-26 12:44:19
41,21,청바지 SeaGreen 베이직,특별한 주파수 탐지 가능 LAN,97800.0,14,2025-01-13 19:53:36
42,41,스니커즈 MediumVioletRed 슬림핏,공유 가능한 작동 배열,180500.0,49,2025-07-18 00:21:44
43,22,슬랙스 LightSlateGray 오버핏,사용자 중심의 주파수 탐지 가능 전략,68100.0,59,2025-01-24 12:40:53
44,21,청바지 SlateGray 베이직,비전 있는 멀티미디어 배열,95100.0,29,2024-11-17 23:21:53
45,22,슬랙스 DarkOrange 오버핏,품질 중심의 모듈형 보안구역,44000.0,47,2024-08-22 05:35:43
46,41,스니커즈 DarkSeaGreen 슬림핏,비전 있는 실시간 GUI,173800.0,80,2024-09-24 06:35:04
47,11,티셔츠 MediumTurquoise 베이직,조직화된 글로벌 환경,54600.0,9,2025-04-30 10:02:19
48,12,셔츠 SlateGray 슬림핏,적응된 선구적 그룹웨어,75800.0,58,2025-04-20 18:58:54
49,12,셔츠 LightCyan 슬림핏,중심이 24/7 능력,88200.0,89,2025-05-17 18:34:34
50,31,자켓 LimeGreen 슬림핏,유기농 필수 연합,124400.0,73,2024-10-16 20:30:10
51,21,청바지 Navy 슬림핏,비전 있는 물류 웹 사이트,190700.0,5,2024-12-27 06:18:20
52,31,자켓 DarkSlateBlue 슬림핏,강화된 상황에 맞는 엑스트라넷,26000.0,8,2024-11-22 11:30:11
53,12,셔츠 Black 오버핏,다용도 지역적 제품,180900.0,29,2024-10-22 07:37:53
54,31,자켓 Green 오버핏,다중 주파수 요약 모델,174900.0,87,2025-05-20 17:34:11
55,12,셔츠 LightSeaGreen 슬림핏,인체 공학적인 클라이언트-서버 프레임워크,39700.0,97,2025-06-27 03:31:20
56,11,티셔츠 LightPink 오버핏,다중 주파수 분석중인 모델,80600.0,3,2025-06-24 22:56:14
57,21,청바지 Wheat 오버핏,강화된 다중 상태 에뮬레이션,31000.0,22,2024-10-31 13:35:31
58,12,셔츠 Brown 슬림핏,업그레이드 가능한 클라이언트-서버 안내 창구,139500.0,43,2025-07-16 02:51:37
59,31,자켓 SlateGray 오버핏,선택적 국가적 능력,67600.0,4,2024-08-31 11:15:54
60,13,니트 Lime 오버핏,강화된 3세대 정의,168100.0,47,2024-12-26 02:49:47
61,41,스니커즈 DarkViolet 베이직,공개 아키텍쳐 고단계 접근,126700.0,72,2024-09-29 13:24:49
62,13,니트 Cornsilk 슬림핏,강화된 24/7 도전,160800.0,62,2024-11-02 17:48:08
63,41,스니커즈 DeepSkyBlue 슬림핏,트리플 버퍼 상황에 맞는 태도,144700.0,48,2025-03-12 08:36:34
64,41,스니커즈 CadetBlue 슬림핏,미래가 보장된 무관용 융합,56400.0,17,2025-04-29 21:18:49
65,13,니트 DarkOliveGreen 베이직,설정 가능한 로컬 정의,56700.0,57,2025-04-15 06:38:57
66,11,티셔츠 Moccasin 슬림핏,낮은 선구적 표준,69500.0,86,2025-05-17 12:32:36
67,12,셔츠 PapayaWhip 베이직,다용도 수요 중심 축적,46000.0,47,2024-12-16 22:59:45
68,13,니트 GoldenRod 오버핏,모니터링되는 인간자원 구조체,169800.0,49,2024-11-03 00:34:32
69,41,스니커즈 Linen 슬림핏,프로그래밍 가능한 문맥 기반 엔진,73200.0,46,2025-02-09 10:14:12
70,31,자켓 NavajoWhite 슬림핏,무결점의 5세대 우연성,40200.0,73,2025-04-27 15:40:57
71,22,슬랙스 DarkSlateBlue 오버핏,다양한 방향 어플리케이션,106800.0,75,2025-06-26 05:56:41
72,12,셔츠 MediumSlateBlue 슬림핏,유기농 결합된 엔진,84100.0,13,2025-05-10 22:42:10
73,12,셔츠 WhiteSmoke 베이직,미래가 보장된 지역적 소프트웨어,118900.0,88,2025-01-19 08:44:23
74,12,셔츠 SeaGreen 오버핏,출판된 국가적 안내 창구,116500.0,6,2025-02-02 14:44:14
75,12,셔츠 DarkSalmon 베이직,다양한 결정 우연성,45300.0,40,2025-08-01 07:28:18
76,41,스니커즈 DarkOrange 베이직,품질 중심의 요약 공구,69000.0,56,2024-08-18 19:35:56
77,13,니트 Aqua 베이직,객체 기반의 고도 기반 GUI,45400.0,63,2025-05-05 09:48:28
78,41,스니커즈 LightSteelBlue 오버핏,프로그래밍 가능한 결합된 능력,97900.0,83,2025-02-03 15:55:50
79,22,슬랙스 Tomato 베이직,크로스 그룹 환경 친화적 웹 사이트,119800.0,16,2024-08-27 22:56:33
