product_id,category_id,product_name,description,price,stock_quantity,created_at
1,12,셔츠 Snow 베이직,사용자 중심의 분리형 벤치마크,138600.0,79,2025-02-12 05:32:32
2,22,슬랙스 IndianRed 오버핏,공개 아키텍쳐 취약점 펌웨어,29300.0,25,2025-08-05 21:36:38
3,21,청바지 Gainsboro 오버핏,최전방 환경 친화적 배열,184800.0,13,2025-07-23 08:39:54
4,21,청바지 Maroon 슬림핏,조직화된 웹 사용 가능 데이터베이스,163200.0,94,2025-03-27 23:41:47
5,11,티셔츠 Navy 슬림핏,디지털화된 교훈적 패러다임,26700.0,30,2025-03-09 13:13:53
6,41,스니커즈 Magenta 베이직,안정적인 상황에 맞는 프레임,115400.0,89,2025-04-01 09:26:09
7,13,니트 Khaki 베이직,유저 친화적 최대화 서비스 창구,152800.0,32,2025-02-08 04:42:42
8,13,니트 Peru 슬림핏,조직화된 밀착 배열,176600.0,29,2025-01-07 00:18:57
9,21,청바지 DarkGreen 슬림핏,강화된 물류 프로젝트,21700.0,28,2025-06-14 14:39:18
10,13,니트 DarkSeaGreen 베이직,더 커진 고단계 프레임,124500.0,9,2025-01-08 23:34:30
11,13,니트 Thistle 베이직,트리플 버퍼 웹 사용 가능 시간화,39900.0,13,2025-06-29 10:43:36
12,13,니트 Green 베이직,특별한 클라이언트 단 예보,69900.0,52,2025-01-24 14:07:48
13,21,청바지 AntiqueWhite 베이직,관리된 무해한 예보,161500.0,42,2025-02-06 02:43:37
14,22,슬랙스 FloralWhite 베이직,리버스 엔지니어링된 실행 알고리즘,153800.0,3,2025-05-18 22:53:33
15,31,자켓 PaleGreen 슬림핏,숙련된 분리형 관리자,112300.0,73,2025-07-11 11:30:54
16,21,청바지 FloralWhite 오버핏,유기농 비대칭 시너지,160300.0,5,2025-07-20 07:12:00
17,21,청바지 Aquamarine 오버핏,공개 아키텍쳐 무해한 하드웨어,114500.0,34,2025-06-12 16:00:54
18,22,슬랙스 SpringGreen 슬림핏,독보적인 6세대 어댑터,60400.0,88,2025-03-13 12:52:39
19,31,자켓 Tan 슬림핏,다용도 방향 코어,69100.0,28,2025-02-17 06:20:55
20,31,자켓 Lime 슬림핏,독보적인 정적 하드웨어,137900.0,4,2025-07-16 04:49:32
21,11,티셔츠 PaleVioletRed 슬림핏,모니터링되는 최대화 컨셉,150200.0,89,2025-07-13 18:03:22
22,13,니트 Azure 베이직,품질 중심의 실시간 도전,198500.0,39,2025-07-31 20:52:04
23,21,청바지 LavenderBlush 오버핏,자가 이용 가능한 안정적 축적,117900.0,76,2025-04-21 01:19:31
24,12,셔츠 LightSalmon 슬림핏,진보적인 스며든 알고리즘,48900.0,12,2025-06-06 03:57:17
25,21,청바지 MediumBlue 슬림핏,인체 공학적인 휴리스틱 예산 관리,145800.0,59,2025-06-29 00:19:29
26,31,자켓 LightGray 슬림핏,1:1 24/7 프레임워크,178200.0,41,2025-07-31 18:24:34
